age,scrape_id,zipcode,gender,normalized_result
18,1,30309,f,0.03594771241830065
19,1,30309,f,0.13398692810457516
20,1,30309,f,0.13398692810457516
21,1,30309,f,0.24509803921568626
22,1,30309,f,0.27124183006535946
23,1,30309,f,0.28431372549019607
24,1,30309,f,0.33986928104575165
25,1,30309,f,0.38562091503267976
26,1,30309,f,0.38562091503267976
27,1,30309,f,0.40522875816993464
28,1,30309,f,0.5196078431372549
29,1,30309,f,0.5163398692810458
30,1,30309,f,0.3758169934640523
31,1,30309,f,0.3464052287581699
32,1,30309,f,0.3758169934640523
33,1,30309,f,0.3006535947712418
34,1,30309,f,0.32679738562091504
35,1,30309,f,0.2647058823529412
36,1,30309,f,0.26143790849673204
37,1,30309,f,0.2875816993464052
38,1,30309,f,0.31699346405228757
39,1,30309,f,0.27124183006535946
40,1,30309,f,0.29411764705882354
41,1,30309,f,0.22875816993464052
42,1,30309,f,0.19281045751633988
43,1,30309,f,0.238562091503268
44,1,30309,f,0.24836601307189543
45,1,30309,f,0.22549019607843138
46,1,30309,f,0.19934640522875818
47,1,30309,f,0.17647058823529413
48,1,30309,f,0.17320261437908496
49,1,30309,f,0.21895424836601307
50,1,30309,f,0.16666666666666666
51,1,30309,f,0.13398692810457516
52,1,30309,f,0.1568627450980392
53,1,30309,f,0.13398692810457516
54,1,30309,f,0.11437908496732026
55,1,30309,f,0.10784313725490197
56,1,30309,f,0.10457516339869281
57,1,30309,f,0.08169934640522876
58,1,30309,f,0.11437908496732026
59,1,30309,f,0.09477124183006536
60,1,30309,f,0.058823529411764705
61,1,30309,f,0.06209150326797386
62,1,30309,f,0.0457516339869281
63,1,30309,f,0.00980392156862745
64,1,30309,f,0.032679738562091505
65,1,30309,f,0.02287581699346405
18,1,30309,m,0.06209150326797386
19,1,30309,m,0.17647058823529413
20,1,30309,m,0.21241830065359477
21,1,30309,m,0.4019607843137255
22,1,30309,m,0.5784313725490197
23,1,30309,m,0.6143790849673203
24,1,30309,m,0.7091503267973857
25,1,30309,m,0.6928104575163399
26,1,30309,m,0.7647058823529411
27,1,30309,m,0.9967320261437909
28,1,30309,m,0.954248366013072
29,1,30309,m,1
30,1,30309,m,0.8071895424836601
31,1,30309,m,0.8758169934640523
32,1,30309,m,0.8235294117647058
33,1,30309,m,0.7679738562091504
34,1,30309,m,0.7124183006535948
35,1,30309,m,0.6078431372549019
36,1,30309,m,0.6928104575163399
37,1,30309,m,0.630718954248366
38,1,30309,m,0.6928104575163399
39,1,30309,m,0.5522875816993464
40,1,30309,m,0.45751633986928103
41,1,30309,m,0.45751633986928103
42,1,30309,m,0.39869281045751637
43,1,30309,m,0.35947712418300654
44,1,30309,m,0.30718954248366015
45,1,30309,m,0.3333333333333333
46,1,30309,m,0.3104575163398693
47,1,30309,m,0.24836601307189543
48,1,30309,m,0.3464052287581699
49,1,30309,m,0.25163398692810457
50,1,30309,m,0.17973856209150327
51,1,30309,m,0.19934640522875818
52,1,30309,m,0.16013071895424835
53,1,30309,m,0.13725490196078433
54,1,30309,m,0.14705882352941177
55,1,30309,m,0.12418300653594772
56,1,30309,m,0.1437908496732026
57,1,30309,m,0.12091503267973856
58,1,30309,m,0.12745098039215685
59,1,30309,m,0.0718954248366013
60,1,30309,m,0.0392156862745098
61,1,30309,m,0.05228758169934641
62,1,30309,m,0.049019607843137254
63,1,30309,m,0.0196078431372549
64,1,30309,m,0.00980392156862745
65,1,30309,m,0.013071895424836602
18,1,2110,f,0.04914004914004914
19,1,2110,f,0.19164619164619165
20,1,2110,f,0.20638820638820637
21,1,2110,f,0.25307125307125306
22,1,2110,f,0.4348894348894349
23,1,2110,f,0.39803439803439805
24,1,2110,f,0.48894348894348894
25,1,2110,f,0.4398034398034398
26,1,2110,f,0.47911547911547914
27,1,2110,f,0.5085995085995086
28,1,2110,f,0.48157248157248156
29,1,2110,f,0.3882063882063882
30,1,2110,f,0.3832923832923833
31,1,2110,f,0.36855036855036855
32,1,2110,f,0.3022113022113022
33,1,2110,f,0.36609336609336607
34,1,2110,f,0.2751842751842752
35,1,2110,f,0.2702702702702703
36,1,2110,f,0.3022113022113022
37,1,2110,f,0.2678132678132678
38,1,2110,f,0.3316953316953317
39,1,2110,f,0.29484029484029484
40,1,2110,f,0.2972972972972973
41,1,2110,f,0.2628992628992629
42,1,2110,f,0.24078624078624078
43,1,2110,f,0.2678132678132678
44,1,2110,f,0.28255528255528256
45,1,2110,f,0.27764127764127766
46,1,2110,f,0.20393120393120392
47,1,2110,f,0.24815724815724816
48,1,2110,f,0.23095823095823095
49,1,2110,f,0.21621621621621623
50,1,2110,f,0.21867321867321868
51,1,2110,f,0.23587223587223588
52,1,2110,f,0.21867321867321868
53,1,2110,f,0.19164619164619165
54,1,2110,f,0.17444717444717445
55,1,2110,f,0.1597051597051597
56,1,2110,f,0.13022113022113022
57,1,2110,f,0.10319410319410319
58,1,2110,f,0.085995085995086
59,1,2110,f,0.10073710073710074
60,1,2110,f,0.07862407862407862
61,1,2110,f,0.06142506142506143
62,1,2110,f,0.06633906633906633
63,1,2110,f,0.03194103194103194
64,1,2110,f,0.02457002457002457
65,1,2110,f,0.022113022113022112
18,1,2110,m,0.10810810810810811
19,1,2110,m,0.22358722358722358
20,1,2110,m,0.343980343980344
21,1,2110,m,0.43243243243243246
22,1,2110,m,0.5749385749385749
23,1,2110,m,0.7616707616707616
24,1,2110,m,0.9090909090909091
25,1,2110,m,0.8992628992628993
26,1,2110,m,1
27,1,2110,m,0.941031941031941
28,1,2110,m,0.9385749385749386
29,1,2110,m,0.9287469287469288
30,1,2110,m,0.7592137592137592
31,1,2110,m,0.8132678132678133
32,1,2110,m,0.6633906633906634
33,1,2110,m,0.6240786240786241
34,1,2110,m,0.547911547911548
35,1,2110,m,0.5110565110565111
36,1,2110,m,0.48402948402948404
37,1,2110,m,0.44471744471744473
38,1,2110,m,0.5454545454545454
39,1,2110,m,0.5847665847665847
40,1,2110,m,0.44963144963144963
41,1,2110,m,0.3488943488943489
42,1,2110,m,0.3857493857493858
43,1,2110,m,0.3783783783783784
44,1,2110,m,0.40294840294840295
45,1,2110,m,0.3316953316953317
46,1,2110,m,0.3095823095823096
47,1,2110,m,0.3316953316953317
48,1,2110,m,0.35626535626535627
49,1,2110,m,0.2702702702702703
50,1,2110,m,0.25307125307125306
51,1,2110,m,0.21621621621621623
52,1,2110,m,0.24324324324324326
53,1,2110,m,0.19901719901719903
54,1,2110,m,0.14004914004914004
55,1,2110,m,0.171990171990172
56,1,2110,m,0.1375921375921376
57,1,2110,m,0.09090909090909091
58,1,2110,m,0.09828009828009827
59,1,2110,m,0.10319410319410319
60,1,2110,m,0.07616707616707617
61,1,2110,m,0.10073710073710074
62,1,2110,m,0.051597051597051594
63,1,2110,m,0.03194103194103194
64,1,2110,m,0.029484029484029485
65,1,2110,m,0.02457002457002457
18,1,92411,f,0.15313653136531366
19,1,92411,f,0.3154981549815498
20,1,92411,f,0.37822878228782286
21,1,92411,f,0.43726937269372695
22,1,92411,f,0.4870848708487085
23,1,92411,f,0.44649446494464945
24,1,92411,f,0.507380073800738
25,1,92411,f,0.4354243542435424
26,1,92411,f,0.470479704797048
27,1,92411,f,0.44649446494464945
28,1,92411,f,0.4833948339483395
29,1,92411,f,0.3948339483394834
30,1,92411,f,0.3191881918819188
31,1,92411,f,0.36162361623616235
32,1,92411,f,0.3044280442804428
33,1,92411,f,0.3191881918819188
34,1,92411,f,0.3025830258302583
35,1,92411,f,0.27490774907749077
36,1,92411,f,0.2730627306273063
37,1,92411,f,0.30996309963099633
38,1,92411,f,0.3062730627306273
39,1,92411,f,0.31365313653136534
40,1,92411,f,0.3191881918819188
41,1,92411,f,0.2656826568265683
42,1,92411,f,0.25830258302583026
43,1,92411,f,0.28044280442804426
44,1,92411,f,0.2878228782287823
45,1,92411,f,0.2933579335793358
46,1,92411,f,0.2896678966789668
47,1,92411,f,0.27490774907749077
48,1,92411,f,0.3118081180811808
49,1,92411,f,0.2878228782287823
50,1,92411,f,0.22878228782287824
51,1,92411,f,0.2177121771217712
52,1,92411,f,0.22324723247232472
53,1,92411,f,0.2693726937269373
54,1,92411,f,0.16974169741697417
55,1,92411,f,0.15313653136531366
56,1,92411,f,0.15313653136531366
57,1,92411,f,0.14206642066420663
58,1,92411,f,0.11070110701107011
59,1,92411,f,0.13653136531365315
60,1,92411,f,0.08302583025830258
61,1,92411,f,0.07933579335793357
62,1,92411,f,0.06273062730627306
63,1,92411,f,0.07933579335793357
64,1,92411,f,0.042435424354243544
65,1,92411,f,0.05350553505535055
18,1,92411,m,0.17158671586715868
19,1,92411,m,0.44280442804428044
20,1,92411,m,0.6439114391143912
21,1,92411,m,0.7343173431734318
22,1,92411,m,0.8616236162361623
23,1,92411,m,0.8579335793357934
24,1,92411,m,0.922509225092251
25,1,92411,m,1
26,1,92411,m,0.8948339483394834
27,1,92411,m,0.8745387453874539
28,1,92411,m,0.9022140221402214
29,1,92411,m,0.7472324723247232
30,1,92411,m,0.6974169741697417
31,1,92411,m,0.6273062730627307
32,1,92411,m,0.5682656826568265
33,1,92411,m,0.6107011070110702
34,1,92411,m,0.47601476014760147
35,1,92411,m,0.5018450184501845
36,1,92411,m,0.4483394833948339
37,1,92411,m,0.45202952029520294
38,1,92411,m,0.4797047970479705
39,1,92411,m,0.47232472324723246
40,1,92411,m,0.45940959409594095
41,1,92411,m,0.3339483394833948
42,1,92411,m,0.37822878228782286
43,1,92411,m,0.35793357933579334
44,1,92411,m,0.34870848708487084
45,1,92411,m,0.37453874538745385
46,1,92411,m,0.33210332103321033
47,1,92411,m,0.2822878228782288
48,1,92411,m,0.33025830258302585
49,1,92411,m,0.29704797047970477
50,1,92411,m,0.26014760147601473
51,1,92411,m,0.24538745387453875
52,1,92411,m,0.23616236162361623
53,1,92411,m,0.16236162361623616
54,1,92411,m,0.16974169741697417
55,1,92411,m,0.14944649446494465
56,1,92411,m,0.16420664206642066
57,1,92411,m,0.10516605166051661
58,1,92411,m,0.1014760147601476
59,1,92411,m,0.08487084870848709
60,1,92411,m,0.09778597785977859
61,1,92411,m,0.06088560885608856
62,1,92411,m,0.05904059040590406
63,1,92411,m,0.04059040590405904
64,1,92411,m,0.04059040590405904
