s1.age,s1.zipcode,s1.gender,base,smokers,drinkers
39,92411,f,170,10,68
40,92411,f,173,16,69
41,92411,f,144,10,71
42,92411,f,140,8,49
43,92411,f,152,9,62
44,92411,f,156,10,66
45,92411,f,159,11,81
46,92411,f,157,10,69
47,92411,f,149,13,61
48,92411,f,169,9,74
49,92411,f,156,18,73
50,92411,f,124,9,56
51,92411,f,118,6,44
52,92411,f,121,12,55
53,92411,f,146,9,62
54,92411,f,92,5,42
55,92411,f,83,8,43
56,92411,f,83,8,36
57,92411,f,77,8,34
58,92411,f,60,1,25
59,92411,f,74,2,30
60,92411,f,45,1,17
61,92411,f,43,1,12
62,92411,f,34,2,12
63,92411,f,43,0,20
64,92411,f,23,0,6
65,92411,f,29,1,9
18,92411,m,93,19,45
19,92411,m,240,20,92
20,92411,m,349,31,107
21,92411,m,398,26,144
22,92411,m,467,34,193
23,92411,m,465,34,173
24,92411,m,500,27,182
25,92411,m,542,43,199
26,92411,m,485,36,172
27,92411,m,474,38,185
28,92411,m,489,38,191
29,92411,m,405,27,147
30,92411,m,378,21,147
31,92411,m,340,22,130
32,92411,m,308,22,105
33,92411,m,331,18,144
34,92411,m,258,12,104
35,92411,m,272,15,106
36,92411,m,243,15,83
37,92411,m,245,17,103
38,92411,m,260,15,100
39,92411,m,256,12,88
40,92411,m,249,16,104
41,92411,m,181,8,55
42,92411,m,205,12,72
43,92411,m,194,11,67
44,92411,m,189,8,55
45,92411,m,203,11,72
46,92411,m,180,12,63
47,92411,m,153,7,50
48,92411,m,179,7,61
49,92411,m,161,10,56
50,92411,m,141,6,49
51,92411,m,133,4,43
52,92411,m,128,8,44
53,92411,m,88,9,32
54,92411,m,92,6,33
55,92411,m,81,4,27
56,92411,m,89,7,25
57,92411,m,57,0,19
58,92411,m,55,0,18
59,92411,m,46,2,13
60,92411,m,53,5,19
61,92411,m,33,1,9
62,92411,m,32,5,9
63,92411,m,22,1,7
64,92411,m,22,0,8
65,92411,m,16,0,5
18,77004,f,15,0,11
19,77004,f,56,8,13
20,77004,f,68,2,12
21,77004,f,79,3,14
22,77004,f,93,3,22
