s1.age,s1.zipcode,s1.gender,base,smokers,drinkers
27,20024,f,134,12,48
28,20024,f,131,5,46
29,20024,f,128,7,51
30,20024,f,106,3,43
31,20024,f,111,6,35
32,20024,f,84,4,33
33,20024,f,81,6,38
34,20024,f,92,4,31
35,20024,f,77,3,36
36,20024,f,73,2,26
37,20024,f,62,3,20
38,20024,f,72,7,28
39,20024,f,59,4,23
40,20024,f,63,4,25
41,20024,f,64,2,19
42,20024,f,47,2,14
43,20024,f,57,3,25
44,20024,f,43,0,19
45,20024,f,59,3,26
46,20024,f,52,3,16
47,20024,f,41,1,17
48,20024,f,57,6,18
49,20024,f,56,1,16
50,20024,f,42,2,14
51,20024,f,37,0,14
52,20024,f,43,2,18
53,20024,f,39,1,12
54,20024,f,35,3,12
55,20024,f,25,1,10
56,20024,f,29,1,10
57,20024,f,29,0,13
58,20024,f,30,1,12
59,20024,f,26,0,9
60,20024,f,21,0,3
61,20024,f,23,0,5
62,20024,f,13,0,3
63,20024,f,9,0,2
64,20024,f,4,0,2
65,20024,f,4,0,2
18,20024,m,19,4,9
19,20024,m,93,9,36
20,20024,m,133,15,44
21,20024,m,154,11,51
22,20024,m,184,10,71
23,20024,m,278,17,107
24,20024,m,299,18,116
25,20024,m,331,20,125
26,20024,m,337,23,133
27,20024,m,337,20,108
28,20024,m,354,19,93
29,20024,m,346,12,96
30,20024,m,298,11,86
31,20024,m,265,14,78
32,20024,m,250,13,71
33,20024,m,214,11,56
34,20024,m,233,11,70
35,20024,m,208,6,59
36,20024,m,167,7,50
37,20024,m,177,7,46
38,20024,m,208,9,58
39,20024,m,185,8,49
40,20024,m,156,5,63
41,20024,m,124,4,27
42,20024,m,112,1,32
43,20024,m,120,7,29
44,20024,m,121,5,35
45,20024,m,123,4,33
46,20024,m,98,0,35
47,20024,m,85,2,19
48,20024,m,94,3,25
49,20024,m,81,1,32
50,20024,m,78,3,30
51,20024,m,63,2,17
52,20024,m,50,0,18
53,20024,m,57,2,9
54,20024,m,54,3,14
55,20024,m,53,4,17
56,20024,m,30,0,6
57,20024,m,34,1,9
58,20024,m,23,0,7
59,20024,m,35,1,10
60,20024,m,26,3,9
61,20024,m,17,2,8
62,20024,m,12,0,4
63,20024,m,11,1,1
64,20024,m,9,0,2
65,20024,m,11,0,3
18,60616,f,29,5,18
19,60616,f,81,4,25
20,60616,f,101,5,24
21,60616,f,144,12,49
22,60616,f,186,5,66
23,60616,f,208,14,86
24,60616,f,241,21,98
25,60616,f,240,17,105
26,60616,f,256,20,111
27,60616,f,239,20,100
28,60616,f,249,21,97
29,60616,f,233,22,93
30,60616,f,213,12,87
31,60616,f,197,20,78
32,60616,f,150,16,64
33,60616,f,150,14,68
34,60616,f,135,9,58
35,60616,f,128,8,47
36,60616,f,132,16,57
37,60616,f,138,11,55
38,60616,f,116,5,42
39,60616,f,90,9,35
40,60616,f,108,7,41
41,60616,f,96,5,49
42,60616,f,93,13,48
43,60616,f,108,10,44
44,60616,f,81,7,29
45,60616,f,83,11,30
46,60616,f,72,3,25
47,60616,f,58,3,19
48,60616,f,76,5,32
49,60616,f,74,11,31
50,60616,f,74,6,25
51,60616,f,61,3,26
52,60616,f,53,2,19
53,60616,f,58,4,27
54,60616,f,51,2,18
55,60616,f,41,4,22
56,60616,f,37,3,9
57,60616,f,30,0,12
58,60616,f,30,2,4
59,60616,f,29,0,11
60,60616,f,26,1,7
61,60616,f,22,1,5
62,60616,f,11,0,4
63,60616,f,7,0,0
64,60616,f,11,0,2
65,60616,f,7,0,4
18,60616,m,46,8,27
19,60616,m,126,8,41
20,60616,m,199,15,54
21,60616,m,229,22,68
22,60616,m,330,28,114
23,60616,m,386,26,133
24,60616,m,476,31,174
25,60616,m,491,31,202
26,60616,m,517,40,173
27,60616,m,488,32,177
28,60616,m,500,26,155
29,60616,m,479,22,157
30,60616,m,419,26,116
31,60616,m,410,24,131
32,60616,m,311,18,86
33,60616,m,356,29,115
34,60616,m,270,16,84
35,60616,m,262,18,87
36,60616,m,268,15,88
37,60616,m,214,6,66
38,60616,m,245,13,81
39,60616,m,265,13,85
40,60616,m,228,7,76
41,60616,m,191,9,77
42,60616,m,166,8,53
43,60616,m,126,5,33
44,60616,m,170,12,58
45,60616,m,117,8,37
46,60616,m,106,5,40
47,60616,m,104,4,27
48,60616,m,125,4,38
49,60616,m,96,2,21
50,60616,m,96,6,31
51,60616,m,81,4,22
52,60616,m,71,5,17
53,60616,m,51,0,8
54,60616,m,64,4,24
55,60616,m,48,4,14
56,60616,m,41,4,18
57,60616,m,29,0,8
58,60616,m,42,1,13
59,60616,m,26,4,9
60,60616,m,20,1,3
61,60616,m,21,0,3
62,60616,m,19,1,5
63,60616,m,6,0,0
64,60616,m,4,0,3
65,60616,m,5,1,1
