id,scrape,zipcode,radius,age,gender,result,url,created_at
15,base,30309,10,32,f,113,http://www.plentyoffish.com/advancedsearch.aspx?smarts=&state=&thnicity=&wantchildrem=&income=&height=&viewtype=&smoke=nil&cmdSearch=Go+Fishing&heightb=&starsign=&country=1&MinAge=32&iama=m&religion=&searchtype=&City=30309&drugs=&MaxAge=32&seekinga=f&haschildren=&body=&interests=&drink=&miles=10,2009-01-22T00:00:32-05:00
16,base,30309,10,33,f,95,http://www.plentyoffish.com/advancedsearch.aspx?state=&smarts=&wantchildrem=&thnicity=&height=&income=&smoke=nil&viewtype=&heightb=&cmdSearch=Go+Fishing&iama=m&MinAge=33&country=1&starsign=&religion=&seekinga=f&MaxAge=33&drugs=&City=30309&searchtype=&haschildren=&interests=&body=&miles=10&drink=,2009-01-22T00:00:33-05:00
17,base,30309,10,34,f,96,http://www.plentyoffish.com/advancedsearch.aspx?smarts=&state=&thnicity=&wantchildrem=&income=&height=&viewtype=&smoke=nil&cmdSearch=Go+Fishing&heightb=&starsign=&country=1&MinAge=34&iama=m&religion=&searchtype=&City=30309&drugs=&MaxAge=34&seekinga=f&haschildren=&body=&interests=&drink=&miles=10,2009-01-22T00:00:34-05:00
18,base,30309,10,35,f,85,http://www.plentyoffish.com/advancedsearch.aspx?state=&smarts=&wantchildrem=&thnicity=&height=&income=&smoke=nil&viewtype=&heightb=&cmdSearch=Go+Fishing&iama=m&MinAge=35&country=1&starsign=&religion=&seekinga=f&MaxAge=35&drugs=&City=30309&searchtype=&haschildren=&interests=&body=&miles=10&drink=,2009-01-22T00:00:35-05:00
19,base,30309,10,36,f,81,http://www.plentyoffish.com/advancedsearch.aspx?smarts=&state=&thnicity=&wantchildrem=&income=&height=&viewtype=&smoke=nil&cmdSearch=Go+Fishing&heightb=&starsign=&country=1&MinAge=36&iama=m&religion=&searchtype=&City=30309&drugs=&MaxAge=36&seekinga=f&haschildren=&body=&interests=&drink=&miles=10,2009-01-22T00:00:36-05:00
20,base,30309,10,37,f,91,http://www.plentyoffish.com/advancedsearch.aspx?state=&smarts=&wantchildrem=&thnicity=&height=&income=&smoke=nil&viewtype=&heightb=&cmdSearch=Go+Fishing&iama=m&MinAge=37&country=1&starsign=&religion=&seekinga=f&MaxAge=37&drugs=&City=30309&searchtype=&haschildren=&interests=&body=&miles=10&drink=,2009-01-22T00:00:37-05:00
21,base,30309,10,38,f,95,http://www.plentyoffish.com/advancedsearch.aspx?smarts=&state=&thnicity=&wantchildrem=&income=&height=&viewtype=&smoke=nil&cmdSearch=Go+Fishing&heightb=&starsign=&country=1&MinAge=38&iama=m&religion=&searchtype=&City=30309&drugs=&MaxAge=38&seekinga=f&haschildren=&body=&interests=&drink=&miles=10,2009-01-22T00:00:38-05:00
22,base,30309,10,39,f,86,http://www.plentyoffish.com/advancedsearch.aspx?state=&smarts=&wantchildrem=&thnicity=&height=&income=&smoke=nil&viewtype=&heightb=&cmdSearch=Go+Fishing&iama=m&MinAge=39&country=1&starsign=&religion=&seekinga=f&MaxAge=39&drugs=&City=30309&searchtype=&haschildren=&interests=&body=&miles=10&drink=,2009-01-22T00:00:39-05:00
23,base,30309,10,40,f,85,http://www.plentyoffish.com/advancedsearch.aspx?smarts=&state=&thnicity=&wantchildrem=&income=&height=&viewtype=&smoke=nil&cmdSearch=Go+Fishing&heightb=&starsign=&country=1&MinAge=40&iama=m&religion=&searchtype=&City=30309&drugs=&MaxAge=40&seekinga=f&haschildren=&body=&interests=&drink=&miles=10,2009-01-22T00:00:40-05:00
24,base,30309,10,41,f,70,http://www.plentyoffish.com/advancedsearch.aspx?state=&smarts=&wantchildrem=&thnicity=&height=&income=&smoke=nil&viewtype=&heightb=&cmdSearch=Go+Fishing&iama=m&MinAge=41&country=1&starsign=&religion=&seekinga=f&MaxAge=41&drugs=&City=30309&searchtype=&haschildren=&interests=&body=&miles=10&drink=,2009-01-22T00:00:41-05:00
25,base,30309,10,42,f,60,http://www.plentyoffish.com/advancedsearch.aspx?smarts=&state=&thnicity=&wantchildrem=&income=&height=&viewtype=&smoke=nil&cmdSearch=Go+Fishing&heightb=&starsign=&country=1&MinAge=42&iama=m&religion=&searchtype=&City=30309&drugs=&MaxAge=42&seekinga=f&haschildren=&body=&interests=&drink=&miles=10,2009-01-22T00:00:42-05:00
26,base,30309,10,43,f,71,http://www.plentyoffish.com/advancedsearch.aspx?state=&smarts=&wantchildrem=&thnicity=&height=&income=&smoke=nil&viewtype=&heightb=&cmdSearch=Go+Fishing&iama=m&MinAge=43&country=1&starsign=&religion=&seekinga=f&MaxAge=43&drugs=&City=30309&searchtype=&haschildren=&interests=&body=&miles=10&drink=,2009-01-22T00:00:43-05:00
27,base,30309,10,44,f,77,http://www.plentyoffish.com/advancedsearch.aspx?smarts=&state=&thnicity=&wantchildrem=&income=&height=&viewtype=&smoke=nil&cmdSearch=Go+Fishing&heightb=&starsign=&country=1&MinAge=44&iama=m&religion=&searchtype=&City=30309&drugs=&MaxAge=44&seekinga=f&haschildren=&body=&interests=&drink=&miles=10,2009-01-22T00:00:44-05:00
28,base,30309,10,45,f,69,http://www.plentyoffish.com/advancedsearch.aspx?state=&smarts=&wantchildrem=&thnicity=&height=&income=&smoke=nil&viewtype=&heightb=&cmdSearch=Go+Fishing&iama=m&MinAge=45&country=1&starsign=&religion=&seekinga=f&MaxAge=45&drugs=&City=30309&searchtype=&haschildren=&interests=&body=&miles=10&drink=,2009-01-22T00:00:45-05:00
29,base,30309,10,46,f,63,http://www.plentyoffish.com/advancedsearch.aspx?smarts=&state=&thnicity=&wantchildrem=&income=&height=&viewtype=&smoke=nil&cmdSearch=Go+Fishing&heightb=&starsign=&country=1&MinAge=46&iama=m&religion=&searchtype=&City=30309&drugs=&MaxAge=46&seekinga=f&haschildren=&body=&interests=&drink=&miles=10,2009-01-22T00:00:47-05:00
30,base,30309,10,47,f,55,http://www.plentyoffish.com/advancedsearch.aspx?state=&smarts=&wantchildrem=&thnicity=&height=&income=&smoke=nil&viewtype=&heightb=&cmdSearch=Go+Fishing&iama=m&MinAge=47&country=1&starsign=&religion=&seekinga=f&MaxAge=47&drugs=&City=30309&searchtype=&haschildren=&interests=&body=&miles=10&drink=,2009-01-22T00:00:47-05:00
31,base,30309,10,48,f,55,http://www.plentyoffish.com/advancedsearch.aspx?smarts=&state=&thnicity=&wantchildrem=&income=&height=&viewtype=&smoke=nil&cmdSearch=Go+Fishing&heightb=&starsign=&country=1&MinAge=48&iama=m&religion=&searchtype=&City=30309&drugs=&MaxAge=48&seekinga=f&haschildren=&body=&interests=&drink=&miles=10,2009-01-22T00:00:48-05:00
32,base,30309,10,49,f,67,http://www.plentyoffish.com/advancedsearch.aspx?state=&smarts=&wantchildrem=&thnicity=&height=&income=&smoke=nil&viewtype=&heightb=&cmdSearch=Go+Fishing&iama=m&MinAge=49&country=1&starsign=&religion=&seekinga=f&MaxAge=49&drugs=&City=30309&searchtype=&haschildren=&interests=&body=&miles=10&drink=,2009-01-22T00:00:49-05:00
33,base,30309,10,50,f,50,http://www.plentyoffish.com/advancedsearch.aspx?smarts=&state=&thnicity=&wantchildrem=&income=&height=&viewtype=&smoke=nil&cmdSearch=Go+Fishing&heightb=&starsign=&country=1&MinAge=50&iama=m&religion=&searchtype=&City=30309&drugs=&MaxAge=50&seekinga=f&haschildren=&body=&interests=&drink=&miles=10,2009-01-22T00:00:50-05:00
34,base,30309,10,51,f,40,http://www.plentyoffish.com/advancedsearch.aspx?state=&smarts=&wantchildrem=&thnicity=&height=&income=&smoke=nil&viewtype=&heightb=&cmdSearch=Go+Fishing&iama=m&MinAge=51&country=1&starsign=&religion=&seekinga=f&MaxAge=51&drugs=&City=30309&searchtype=&haschildren=&interests=&body=&miles=10&drink=,2009-01-22T00:00:51-05:00
35,base,30309,10,52,f,48,http://www.plentyoffish.com/advancedsearch.aspx?smarts=&state=&thnicity=&wantchildrem=&income=&height=&viewtype=&smoke=nil&cmdSearch=Go+Fishing&heightb=&starsign=&country=1&MinAge=52&iama=m&religion=&searchtype=&City=30309&drugs=&MaxAge=52&seekinga=f&haschildren=&body=&interests=&drink=&miles=10,2009-01-22T00:00:52-05:00
36,base,30309,10,53,f,42,http://www.plentyoffish.com/advancedsearch.aspx?state=&smarts=&wantchildrem=&thnicity=&height=&income=&smoke=nil&viewtype=&heightb=&cmdSearch=Go+Fishing&iama=m&MinAge=53&country=1&starsign=&religion=&seekinga=f&MaxAge=53&drugs=&City=30309&searchtype=&haschildren=&interests=&body=&miles=10&drink=,2009-01-22T00:00:53-05:00
37,base,30309,10,54,f,36,http://www.plentyoffish.com/advancedsearch.aspx?smarts=&state=&thnicity=&wantchildrem=&income=&height=&viewtype=&smoke=nil&cmdSearch=Go+Fishing&heightb=&starsign=&country=1&MinAge=54&iama=m&religion=&searchtype=&City=30309&drugs=&MaxAge=54&seekinga=f&haschildren=&body=&interests=&drink=&miles=10,2009-01-22T00:00:54-05:00
38,base,30309,10,55,f,32,http://www.plentyoffish.com/advancedsearch.aspx?state=&smarts=&wantchildrem=&thnicity=&height=&income=&smoke=nil&viewtype=&heightb=&cmdSearch=Go+Fishing&iama=m&MinAge=55&country=1&starsign=&religion=&seekinga=f&MaxAge=55&drugs=&City=30309&searchtype=&haschildren=&interests=&body=&miles=10&drink=,2009-01-22T00:00:55-05:00
39,base,30309,10,56,f,33,http://www.plentyoffish.com/advancedsearch.aspx?smarts=&state=&thnicity=&wantchildrem=&income=&height=&viewtype=&smoke=nil&cmdSearch=Go+Fishing&heightb=&starsign=&country=1&MinAge=56&iama=m&religion=&searchtype=&City=30309&drugs=&MaxAge=56&seekinga=f&haschildren=&body=&interests=&drink=&miles=10,2009-01-22T00:00:56-05:00
40,base,30309,10,57,f,24,http://www.plentyoffish.com/advancedsearch.aspx?state=&smarts=&wantchildrem=&thnicity=&height=&income=&smoke=nil&viewtype=&heightb=&cmdSearch=Go+Fishing&iama=m&MinAge=57&country=1&starsign=&religion=&seekinga=f&MaxAge=57&drugs=&City=30309&searchtype=&haschildren=&interests=&body=&miles=10&drink=,2009-01-22T00:00:57-05:00
41,base,30309,10,58,f,35,http://www.plentyoffish.com/advancedsearch.aspx?smarts=&state=&thnicity=&wantchildrem=&income=&height=&viewtype=&smoke=nil&cmdSearch=Go+Fishing&heightb=&starsign=&country=1&MinAge=58&iama=m&religion=&searchtype=&City=30309&drugs=&MaxAge=58&seekinga=f&haschildren=&body=&interests=&drink=&miles=10,2009-01-22T00:00:58-05:00
42,base,30309,10,59,f,29,http://www.plentyoffish.com/advancedsearch.aspx?state=&smarts=&wantchildrem=&thnicity=&height=&income=&smoke=nil&viewtype=&heightb=&cmdSearch=Go+Fishing&iama=m&MinAge=59&country=1&starsign=&religion=&seekinga=f&MaxAge=59&drugs=&City=30309&searchtype=&haschildren=&interests=&body=&miles=10&drink=,2009-01-22T00:00:59-05:00
